ID	logP	B	V	J	H	K	[3.6]	[4.5]	[Fe/H]	Galaxy	M_3.6	M_4.5	M_V	M_H
SVul	1.835	10.898	8.982	5.461	4.820	4.598	4.358	4.394	0.090	MW	99.999	99.999	99.999	99.999
GYSge	1.708	12.460	10.167	5.608	4.854	4.569	4.311	4.345	0.260	MW	99.999	99.999	99.999	99.999
SVVul	1.653	8.784	7.253	4.605	4.078	3.923	3.711	3.788	0.110	MW	99.999	99.999	99.999	99.999
UCar	1.589	7.619	6.339	4.199	3.678	3.531	3.357	3.415	0.250	MW	99.999	99.999	99.999	99.999
lCar	1.551	5.049	3.747	1.773	1.218	1.098	0.925	1.047	0.240	MW	-7.670	-7.540	-5.333	-7.436
TMon	1.432	7.430	6.181	4.176	3.664	3.545	3.359	3.425	0.040	MW	99.999	99.999	99.999	99.999
WZSgr	1.339	9.579	8.092	5.370	4.769	4.578	4.364	4.443	0.350	MW	99.999	99.999	99.999	99.999
RUSct	1.294	11.282	9.519	5.980	5.309	5.075	4.856	4.873	0.160	MW	99.999	99.999	99.999	99.999
SZAql	1.234	10.183	8.661	5.900	5.348	5.168	4.981	5.032	0.240	MW	99.999	99.999	99.999	99.999
YOph	1.234	7.574	6.162	3.397	2.865	2.689	2.528	2.500	0.120	MW	99.999	99.999	99.999	99.999
CDCyg	1.232	10.422	9.023	6.384	5.868	5.708	5.477	5.530	0.120	MW	99.999	99.999	99.999	99.999
TTAql	1.138	8.554	7.206	4.677	4.187	4.041	3.875	3.909	0.190	MW	99.999	99.999	99.999	99.999
V340Nor	1.053	99.990	8.407	6.271	5.732	5.586	5.453	5.480	0.070	MW	99.999	99.999	99.999	99.999
TWNor	1.033	13.760	11.709	7.493	6.707	6.402	6.152	6.160	0.270	MW	99.999	99.999	99.999	99.999
zetaGem	1.007	4.741	3.903	2.587	99.990	2.115	2.025	2.037	-0.110	MW	-5.790	-5.780	-3.967	92.164
BetaDor	0.993	4.585	3.758	2.444	2.033	1.963	1.858	1.871	-0.060	MW	-5.690	-5.670	-4.032	-5.554
SNor	0.989	7.421	6.446	4.722	4.281	4.168	4.066	4.085	0.100	MW	99.999	99.999	99.999	99.999
SSge	0.923	6.488	5.641	4.183	3.834	3.751	3.652	3.661	0.140	MW	99.999	99.999	99.999	99.999
DLCas	0.903	10.202	8.983	6.559	6.092	5.929	5.783	5.791	0.050	MW	99.999	99.999	99.999	99.999
UVul	0.903	8.491	7.148	4.531	4.077	3.934	3.797	3.778	0.160	MW	99.999	99.999	99.999	99.999
WSgr	0.881	5.481	4.697	3.264	2.924	2.839	2.721	2.719	0.080	MW	-5.570	-5.570	-3.943	-5.408
etaAql	0.856	4.746	3.916	2.420	2.054	1.975	1.864	1.865	0.140	MW	99.999	99.999	99.999	99.999
UAql	0.847	7.541	6.462	4.420	3.990	3.872	3.738	3.736	0.140	MW	99.999	99.999	99.999	99.999
USgr	0.829	7.854	6.719	4.553	4.088	3.969	3.824	3.822	0.140	MW	99.999	99.999	99.999	99.999
V367Sct	0.799	13.447	11.610	7.676	6.957	6.683	6.437	6.410	-0.040	MW	99.999	99.999	99.999	99.999
YSgr	0.761	6.656	5.765	4.093	3.692	3.613	3.486	3.483	0.110	MW	-5.060	-5.060	-3.415	-4.927
VCen	0.740	7.769	6.857	5.069	4.632	4.515	4.405	4.400	0.120	MW	99.999	99.999	99.999	99.999
CVMon	0.731	11.682	10.314	7.365	6.786	6.575	6.375	6.360	0.090	MW	99.999	99.999	99.999	99.999
deltaCep	0.730	4.683	3.986	2.727	2.381	2.324	2.221	2.217	0.090	MW	-4.990	-4.990	-3.434	-4.856
CFCas	0.688	12.386	11.149	8.607	8.132	7.952	7.809	7.783	-0.010	MW	99.999	99.999	99.999	99.999
FFAql	0.650	6.158	5.383	3.885	3.566	3.474	3.378	3.353	0.100	MW	-4.450	-4.470	-3.047	-4.349
TVul	0.647	6.443	5.774	4.565	4.257	4.193	4.114	4.111	0.070	MW	-4.630	-4.630	-3.296	-4.504
