,ID,logP,m3p6,e3p6,m4p5,e4p5,colour,ecolour,id_compare,Target_name,RA_1,Dec_1,source_id,ra_2,ra_error,dec_2,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_template_logg,rv_template_fe_h,phot_variable_flag,teff_val,a_g_val,Separation,Galaxy
0,SVul,1.835,4.3580000000000005,0.003,4.394,0.003,-0.036000000000000004,0.002,svul,s_vul,297.09916,27.286379999999998,2027971514401523456,297.0991768928588,0.02406433574722832,27.286481851581048,0.028662093972951424,0.3049998095034296,0.04063843715467825,-3.4014915173970923,-5.9228287366077454,8.053449,2.201367,10.461648950835324,2.70265361228126,4.5,0.0,NOT_AVAILABLE,3793.5,,0.37062762010631695,MW
1,GYSge,1.7080000000000002,4.311,0.003,4.345,0.004,-0.034,0.003,gysge,gy_sge,293.80666,19.20222,1825211056159949440,293.8067715126223,0.02954029512231977,19.202388670274306,0.035360047762290014,0.2360667880004048,0.050649949764726816,-1.4879851389085277,-4.3199210837986834,8.815408,2.764813,10.73779215249557,6.370517728836554,4.5,0.0,NOT_AVAILABLE,3502.5024,1.1187,0.7158437083444341,MW
2,SVVul,1.653,3.7110000000000003,0.005,3.7880000000000003,0.005,-0.077,0.003,svvul,sv_vul,297.87875,27.46,2027951173435143680,297.87876445836974,0.019260623597245632,27.46020706685309,0.024925443320687152,0.3728552994205654,0.030349340157764505,-2.1388719815462194,-5.819676330303803,6.869970299999999,1.8920994,3.1815712193298884,4.34414726194784,1.0,0.0,VARIABLE,3986.0598,0.5307,0.7468700811082057,MW
3,UCar,1.589,3.3569999999999998,0.005,3.415,0.006,-0.057999999999999996,0.003,ucar,u_car,164.45083,-59.73222,5338359442320395904,164.45072691323284,0.024662608466877026,-59.73217958160141,0.025608102389162668,0.4789725460644777,0.02934175031712237,-5.965910255186802,2.1714772542897243,6.795809700000001,1.1465983,18.100980910452265,4.5325856361732395,1.0,0.0,VARIABLE,5143.45,,0.236985521729732,MW
4,lCar,1.551,0.925,0.004,1.047,0.004,-0.122,0.003,lcar,l_Car,146.311667,-62.50788000000001,5250032958815432832,146.31159660092175,0.2397093636054766,-62.507868900473525,0.2480825394676389,0.777286446628971,0.2564966040067295,-11.97431088141446,8.491687036262167,7.502631699999999,,,,,,VARIABLE,,,0.12362871870399653,MW
5,TMon,1.432,3.359,0.006,3.425,0.005,-0.066,0.003,tmon,t_mon,96.30416,7.08555,3324535073449061504,96.3041689864363,0.05553933358983349,7.085697688257621,0.056445452178332786,0.5329605449881821,0.06597673017828239,0.7687251283554742,-3.1943251887924884,6.1228223,1.5060228999999998,29.344876067672335,11.794146442674053,1.0,0.0,VARIABLE,4626.0,,0.5326461106932979,MW
6,WZSgr,1.339,4.364,0.006,4.4430000000000005,0.005,-0.079,0.003,wzsgr,wz_sgr,274.24875,-19.07555,4094784475310672128,274.2488214288621,0.056500148877153815,-19.075831364871046,0.06016326767407836,0.513103069763086,0.07734069923494798,1.1445328975432267,-0.2447728195386404,7.652411,1.8202471999999998,7.669087219327881,9.951633439267145,4.5,0.0,VARIABLE,4100.045,,1.0416593813942563,MW
7,RUSct,1.294,4.856,0.005,4.873,0.005,-0.017,0.002,rusct,ru_sct,280.485,-4.11055,4258436301367796480,280.48492496253795,0.05761679802165664,-4.110662959560294,0.05763944753102504,0.4307011757947311,0.07042463140969232,0.2317741294000097,-0.7467090833579911,8.808347,2.2877264,,,,,VARIABLE,4388.5,,0.48781728291188503,MW
8,SZAql,1.234,4.981,0.005,5.032,0.005,-0.051,0.002,szaql,sz_aql,286.16416,1.30611,4267549637851481344,286.1642345250515,0.038347413341981385,1.3061436351235949,0.03780611106633044,0.42102473589381617,0.04492001761544887,0.2852756918637999,-2.5117106108997467,7.9862185,1.7549343000000002,,,,,VARIABLE,3933.3333,0.4703,0.2942858334194864,MW
9,YOph,1.234,2.528,0.002,2.5,0.002,0.027999999999999997,0.001,yoph,Y_Oph,268.16125,-6.14361,4175017625462647168,268.16124480829126,0.06939401124461163,-6.143596439681604,0.06868790218195113,1.361059042016258,0.08344344352410059,-3.233863208016772,-4.646433403546927,5.5648613,2.3543543999999996,-0.3996957602785134,3.5769163559789465,4.5,0.0,VARIABLE,3859.0,,0.052234419638587916,MW
10,CDCyg,1.232,5.477,0.005,5.53,0.005,-0.053,0.002,cdcyg,cd_cyg,301.11082999999996,34.11222,2058374144759464064,301.1106616130615,0.026117524062872974,34.11225029069249,0.025665398293731555,0.3807575167857327,0.033244288008049766,-2.001121976389968,-5.561868655138365,8.637457000000001,1.7309322,,,,,VARIABLE,4119.467000000001,,0.5136014911989256,MW
11,XCyg,1.214,3.678,0.005,3.728,0.005,-0.05,0.002,xcyg,X_Cyg,310.85083,35.58777,1870258975238302208,310.85076345786524,0.019116769642181317,35.58777728102456,0.020563349395409183,0.8982672586263467,0.027007756189095483,-6.796780793880536,-5.00133693966762,6.9698887,1.0525584,,,,,VARIABLE,5143.45,,0.19656489713590303,MW
12,TTAql,1.138,3.875,0.005,3.909,0.004,-0.034,0.002,ttaql,tt_aql,287.05708,1.29861,4267397694768545920,287.0572892939592,0.045545791548218265,1.2986321190011745,0.0438661871052228,0.8880773098797794,0.05447484333684092,-0.27237532554187666,-4.554702816891761,6.945232000000001,1.7441063,,,,,VARIABLE,3955.6667,,0.7574618391720231,MW
