# Table1.txt
# CepID, logp, colour, e_colour, fe_h, galaxy
# whitespace separated
#
etaAql 0.8560 -0.007 0.004 0.14 MW
UAql 0.8470 -0.015 0.004 0.14 MW
FFAql 0.6500 0.016 0.001 0.10 MW
SZAql 1.2340 -0.076 0.007 0.24 MW
TTAql 1.1380 -0.055 0.006 0.19 MW
RTAur 0.5710 0.001 0.004 0.10 MW
ellCar 1.5510 -0.129 0.006 0.24 MW
UCar 1.5890 -0.071 0.008 0.25 MW
CEaCas 0.7110 -0.010 0.015 ... MW
CEbCas 0.6510 0.012 0.015 ... MW
CFCas 0.6880 0.001 0.003 -0.01 MW
DLCas 0.9030 -0.031 0.004 0.05 MW
VCen 0.7400 -0.008 0.004 0.12 MW
deltaCep 0.7300 0.000 0.004 0.09 MW
XCyg 1.2140 -0.061 0.010 ... MW
CDCyg 1.2320 -0.076 0.007 0.12 MW
betaDor 0.9930 -0.016 0.004 -0.06 MW
zetaGem 1.0070 -0.013 0.004 -0.11 MW
TMon 1.4320 -0.075 0.008 0.04 MW
CVMon 0.7310 -0.020 0.004 0.09 MW
SNor 0.9890 -0.027 0.004 0.10 MW
TWNor 1.0330 -0.063 0.005 0.27 MW
V340Nor 1.0530 -0.042 0.003 0.07 MW
YOph 1.2340 -0.003 0.003 0.12 MW
GYSge 1.7080 -0.090 0.005 0.26 MW
SSge 0.9230 -0.014 0.004 0.14 MW
USgr 0.8290 -0.017 0.004 0.14 MW
WSgr 0.8810 -0.003 0.005 0.08 MW
XSgr 0.8460 0.003 0.008 ... MW
YSgr 0.7610 -0.006 0.004 0.11 MW
WZSgr 1.3390 -0.103 0.008 0.35 MW
RUSct 1.2940 -0.061 0.007 0.16 MW
V367Sct 0.7990 -0.032 0.002 -0.04 MW
SVul 1.8350 -0.080 0.004 0.09 MW
TVul 0.6470 -0.001 0.004 0.07 MW
UVul 0.9030 -0.010 0.004 0.16 MW
SVVul 1.6530 -0.101 0.007 0.11 MW
HV872 1.4745 -0.061 0.007 ... LMC
HV873 1.5369 -0.031 0.008 ... LMC
HV875 1.4820 0.017 0.004 ... LMC
HV876 1.3563 -0.034 0.009 ... LMC
HV877 1.6550 -0.089 0.006 -0.44 LMC
